profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,1,7,7,0.6605258850314727,0.5295611672445351,0.596407047514174,0.0
constant_2.6,2,11,7,0.6603926709741861,0.516331897493523,0.5428588429003964,0.0
baseline,6,27,0,0.6599282626689966,0.5134709463809436,0.5316839878598363,0.0
baseline,1,7,4,0.6589570495723351,0.515284686838959,0.5381898280143476,0.0
baseline,6,27,10,0.6589239400349489,0.5132742757288697,0.5333354180079095,0.0
late_boost_bal_0.60,7,31,6,0.658895021719381,0.5240832436311447,0.5546045851178343,0.0
constant_2.6,5,23,4,0.6582584199519306,0.5133912351343757,0.5286740721665574,0.0
edges_narrow_bal_0.55,2,11,2,0.6581747295427152,0.5270606092171249,0.5725212422434189,0.0
baseline,1,7,15,0.657864434838591,0.515348036420491,0.5381454980226248,0.0
baseline,2,11,10,0.6574597627149821,0.5159406971397038,0.5373957509427021,0.0
baseline,6,27,9,0.6571875287409179,0.5152813023084706,0.5398638830129678,0.0
baseline,5,23,13,0.6570771636162972,0.5154777522302956,0.5333197829485883,0.0
baseline,2,11,12,0.6569520831417273,0.5104921180906833,0.5279080290628162,0.0
baseline,1,7,3,0.656793893129771,0.5170979122597259,0.5376155614825715,0.0
constant_2.6,2,11,13,0.6567757592783345,0.5147709679433156,0.5380610700127977,0.0
baseline,5,23,6,0.6563579508875195,0.5136800147153501,0.5345764738342684,0.0
baseline,3,15,15,0.6560912351696864,0.5154404488181734,0.5350569300101168,0.0
baseline,4,19,2,0.6559845488825531,0.5125325485146693,0.5255578037340201,0.0
constant_2.6,6,27,12,0.6556481568186785,0.5146386990042764,0.5279598589131317,0.0
baseline,6,27,3,0.654527729237561,0.5151986756185046,0.5318212084981145,0.0
constant_2.6,7,31,2,0.653482691887505,0.5179580641133691,0.5394709632612292,0.0
baseline,3,15,8,0.65316655936724,0.5150316563965786,0.54130764278488,0.0
baseline,6,27,15,0.6528575370183022,0.5150784512094179,0.5337285017934332,0.0
baseline,3,15,13,0.6527582084061436,0.5154263956589716,0.5376013979582452,0.0
baseline,6,27,11,0.6527140623562955,0.5138270578497195,0.5320114043962109,0.0
baseline,2,11,15,0.6526588797939851,0.5162767221557988,0.5351279315736228,0.0
constant_2.6,7,31,9,0.6517386147267222,0.5136060648625027,0.5355504963011518,0.0
baseline,6,27,5,0.6516545571599375,0.516726423250253,0.5362483215303964,0.0
edges_narrow_bal_0.55,1,7,3,0.6516123271975119,0.5296001547596018,0.566981146113897,0.0
edges_narrow_bal_0.55,2,11,5,0.6510319786907933,0.5292903379413997,0.5688903438936921,0.0
baseline,5,23,10,0.6509408626873908,0.5147670744044881,0.5337110273153683,0.0
baseline,4,19,7,0.6505509059137313,0.5153177227995953,0.5321449461970017,0.0
baseline,6,27,8,0.6503816793893129,0.513137165455716,0.5295981789754438,0.0
constant_2.6,6,27,3,0.6501506071105284,0.5171177076505291,0.5404346926990667,0.0
constant_2.6,2,11,2,0.6499594219184068,0.5147901644972999,0.5326179495583232,0.0
baseline,2,11,9,0.6494950795548606,0.5126938287501149,0.5332519083969465,0.0
constant_2.6,5,23,13,0.6493780628648126,0.5149783843680745,0.5365526578643444,0.0
baseline,5,23,8,0.6491639841809989,0.514482920996965,0.5350280511358411,0.0
